CODICE;Geo Point;Geo Shape
6915;44.481915654941254, 11.381628572984559;"{""coordinates"": [11.381628572984559, 44.481915654941254], ""type"": ""Point""}"
6914;44.48259892239899, 11.382147730577646;"{""coordinates"": [11.382147730577646, 44.48259892239899], ""type"": ""Point""}"
6910;44.48322496095165, 11.380970231036198;"{""coordinates"": [11.380970231036198, 44.48322496095165], ""type"": ""Point""}"
6734;44.478789118717586, 11.384300054568461;"{""coordinates"": [11.384300054568461, 44.478789118717586], ""type"": ""Point""}"
6920;44.482732094118624, 11.38649119311296;"{""coordinates"": [11.38649119311296, 44.482732094118624], ""type"": ""Point""}"
6924;44.48267534377883, 11.387429226980057;"{""coordinates"": [11.387429226980057, 44.48267534377883], ""type"": ""Point""}"
6689;44.48258572617281, 11.388556579715953;"{""coordinates"": [11.388556579715953, 44.48258572617281], ""type"": ""Point""}"
6890;44.48417420318028, 11.380223431243394;"{""coordinates"": [11.380223431243394, 44.48417420318028], ""type"": ""Point""}"
6929;44.48367802147446, 11.381239306789025;"{""coordinates"": [11.381239306789025, 44.48367802147446], ""type"": ""Point""}"
6376;44.48744934379934, 11.381313455081237;"{""coordinates"": [11.381313455081237, 44.48744934379934], ""type"": ""Point""}"
6934;44.485557234876616, 11.380740210565012;"{""coordinates"": [11.380740210565012, 44.485557234876616], ""type"": ""Point""}"
6927;44.48910289245088, 11.383203850002444;"{""coordinates"": [11.383203850002444, 44.48910289245088], ""type"": ""Point""}"
6928;44.488274051804446, 11.38547521822893;"{""coordinates"": [11.38547521822893, 44.488274051804446], ""type"": ""Point""}"
10569;44.50509696442174, 11.371224758912886;"{""coordinates"": [11.371224758912886, 44.50509696442174], ""type"": ""Point""}"
10566;44.50545205220495, 11.372027710479864;"{""coordinates"": [11.372027710479864, 44.50545205220495], ""type"": ""Point""}"
10567;44.50563060255468, 11.37060657366833;"{""coordinates"": [11.37060657366833, 44.50563060255468], ""type"": ""Point""}"
16888;44.502734942856634, 11.375278209734045;"{""coordinates"": [11.375278209734045, 44.502734942856634], ""type"": ""Point""}"
10586;44.5048561428233, 11.37253856374761;"{""coordinates"": [11.37253856374761, 44.5048561428233], ""type"": ""Point""}"
10238;44.509875564531654, 11.35545888267817;"{""coordinates"": [11.35545888267817, 44.509875564531654], ""type"": ""Point""}"
10593;44.510631616396914, 11.3568799480731;"{""coordinates"": [11.3568799480731, 44.510631616396914], ""type"": ""Point""}"
10603;44.51437467499357, 11.352845800482529;"{""coordinates"": [11.352845800482529, 44.51437467499357], ""type"": ""Point""}"
10584;44.50616505775182, 11.373819666755256;"{""coordinates"": [11.373819666755256, 44.50616505775182], ""type"": ""Point""}"
13355;44.50238775432633, 11.307463118394859;"{""coordinates"": [11.307463118394859, 44.50238775432633], ""type"": ""Point""}"
13361;44.5017700536009, 11.30613005520691;"{""coordinates"": [11.30613005520691, 44.5017700536009], ""type"": ""Point""}"
13365;44.49916088440045, 11.302893168300994;"{""coordinates"": [11.302893168300994, 44.49916088440045], ""type"": ""Point""}"
13369;44.49038271648945, 11.284159655510111;"{""coordinates"": [11.284159655510111, 44.49038271648945], ""type"": ""Point""}"
13425;44.488918915391665, 11.281014562551466;"{""coordinates"": [11.281014562551466, 44.488918915391665], ""type"": ""Point""}"
13372;44.491302629743664, 11.286182492161231;"{""coordinates"": [11.286182492161231, 44.491302629743664], ""type"": ""Point""}"
13373;44.49204160869154, 11.290793567845613;"{""coordinates"": [11.290793567845613, 44.49204160869154], ""type"": ""Point""}"
13374;44.492526654354826, 11.290532257859294;"{""coordinates"": [11.290532257859294, 44.492526654354826], ""type"": ""Point""}"
13378;44.491535920204996, 11.391457210714263;"{""coordinates"": [11.391457210714263, 44.491535920204996], ""type"": ""Point""}"
13380;44.49459919083073, 11.38990721102003;"{""coordinates"": [11.38990721102003, 44.49459919083073], ""type"": ""Point""}"
13384;44.50348088006991, 11.384799284357252;"{""coordinates"": [11.384799284357252, 44.50348088006991], ""type"": ""Point""}"
13388;44.50461398051867, 11.381534940705373;"{""coordinates"": [11.381534940705373, 44.50461398051867], ""type"": ""Point""}"
15208;44.50541385175334, 11.381340646638662;"{""coordinates"": [11.381340646638662, 44.50541385175334], ""type"": ""Point""}"
13389;44.50285308224022, 11.381151971143165;"{""coordinates"": [11.381151971143165, 44.50285308224022], ""type"": ""Point""}"
13391;44.50947270208817, 11.381284553357695;"{""coordinates"": [11.381284553357695, 44.50947270208817], ""type"": ""Point""}"
13393;44.51008885961182, 11.380502676445518;"{""coordinates"": [11.380502676445518, 44.51008885961182], ""type"": ""Point""}"
13394;44.514085361162245, 11.376057864586606;"{""coordinates"": [11.376057864586606, 44.514085361162245], ""type"": ""Point""}"
13396;44.51253830331758, 11.379214982333265;"{""coordinates"": [11.379214982333265, 44.51253830331758], ""type"": ""Point""}"
17526;44.487636225396, 11.360804953392853;"{""coordinates"": [11.360804953392853, 44.487636225396], ""type"": ""Point""}"
